id,declined,valueClient,extraCost,valueResources,net,processDuration,daysOnContact,daysOnInterview,daysOnSendCV,daysOnReturn,daysOnCSchedule,daysOnCRealized,daysOnApproved,daysOnClosed
0,0,16800.0,0.0,2200.0,299.2,353,0,0,0,0,1,3,0,0
1,0,16800.0,0.0,10000.0,1360.0,185,0,4,0,0,0,10,0,0
2,0,16800.0,0.0,11000.0,-4991.2,108,0,3,0,15,3,74,0,0
3,0,11575.2,0.0,8904.0,541.3632,83,0,6,0,12,2,35,1,0
4,0,16800.0,0.0,5000.0,680.0,80,0,4,0,3,7,60,0,0
5,0,12012.0,0.0,9240.0,561.7919999999999,63,0,0,0,0,0,0,0,0
6,0,13272.0,0.0,12432.0,-1602.0479999999998,29,0,0,0,2,6,2,0,0
7,0,12667.2,0.0,11760.0,-1423.5648,34,0,0,0,10,0,0,0,0
8,0,23520.0,0.0,6000.0,8992.32,26,0,0,0,0,0,0,0,0
9,0,0.0,0.0,4704.0,0.0,25,0,0,0,2,1,0,3,0
10,0,6115.2,0.0,4704.0,286.0032,42,0,0,0,0,0,0,1,0
11,0,17724.0,0.0,12180.0,2282.784,26,0,0,0,0,0,0,0,0
12,0,3000.0,0.0,4000.0,-4552.0,31,0,0,0,0,11,0,1,4
13,0,13440.0,0.0,8400.0,2567.04,26,0,0,0,0,7,0,0,0
14,0,11760.0,0.0,5000.0,1096.16,8,0,1,0,1,0,1,0,0
15,0,9912.0,0.0,5040.0,3048.192,34,0,1,0,11,2,13,1,0
16,0,21957.6,0.0,10080.0,7837.4016,21,0,1,0,8,4,2,0,0
17,0,15960.0,0.0,12600.0,423.36,182,1,3,0,0,8,15,149,0
18,0,25536.0,0.0,10920.0,9917.376,6,0,1,0,0,4,0,0,0
19,0,13104.0,0.0,8736.0,1956.864,41,0,0,0,6,1,15,0,0
20,0,16800.0,0.0,4980.0,677.28,31,0,0,13,0,0,11,4,0
21,0,8400.0,0.0,9576.0,-2721.6,13,1,0,2,3,0,1,0,0
22,0,15069.6,0.0,11592.0,704.7936,96,0,1,0,0,4,1,2,0
23,0,11928.0,0.0,5880.0,3853.248,26,1,0,0,0,4,1,0,0
24,0,15708.0,0.0,9576.0,3241.728,18,0,0,0,1,0,12,5,0
25,0,12600.0,0.0,8064.0,2217.6,26,0,1,0,0,1,6,0,0
26,1,11256.0,0.0,0.0,9184.896,19,0,3,0,1,2,4,0,0
27,0,17640.0,0.0,10920.0,3474.24,33,0,1,0,19,1,2,0,0
28,0,9359.28,0.0,7198.8,438.37248,20,0,1,0,1,1,11,0,0
29,0,12936.0,0.0,9240.0,1315.776,52,0,0,0,0,1,0,0,3
